Row ID,Order ID,Order Date,Ship Date,Shipping Period,Date Valididty ,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,Price Per Unit,Profit Per Unit,Location,Product Category,Dates In Month
30,US-2012-150630,09-17-2012,09-21-2012,4.00,Valid Date,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$124.20,3,20.00%,$15.53,12.50%,$41.40,$5.18,East Pennsylvania,Furnishings - (Furniture),09-01-12
31,US-2012-150630,09-17-2012,09-21-2012,4.00,Valid Date,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,$3.26,2,20.00%,$1.10,33.75%,$1.63,$0.55,East Pennsylvania,Envelopes - (Office Supplies),09-01-12
32,US-2012-150630,09-17-2012,09-21-2012,4.00,Valid Date,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$86.30,6,20.00%,$9.71,11.25%,$14.38,$1.62,East Pennsylvania,Art - (Office Supplies),09-01-12
33,US-2012-150630,09-17-2012,09-21-2012,4.00,Valid Date,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",$6.86,6,70.00%,-$5.72,-83.33%,$1.14,-$0.95,East Pennsylvania,Binders - (Office Supplies),09-01-12
34,US-2012-150630,09-17-2012,09-21-2012,4.00,Valid Date,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,$15.76,2,20.00%,$3.55,22.50%,$7.88,$1.77,East Pennsylvania,Art - (Office Supplies),09-01-12
35,CA-2014-107727,10-20-2014,10-24-2014,4.00,Valid Date,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Staples,$29.47,3,20.00%,$9.95,33.75%,$9.82,$3.32,Central Texas,Paper - (Office Supplies),10-01-14
36,CA-2013-117590,09-12-2013,11-12-2013,61.00,Valid Date,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,"$1,097.54",7,20.00%,$123.47,11.25%,$156.79,$17.64,Central Texas,Phones - (Technology),09-01-13
37,CA-2013-117590,09-12-2013,11-12-2013,61.00,Valid Date,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",$190.92,5,60.00%,-$147.96,-77.50%,$38.18,-$29.59,Central Texas,Furnishings - (Furniture),09-01-13
38,CA-2012-117415,12-27-2012,12-31-2012,4.00,Valid Date,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",$113.33,9,20.00%,$35.42,31.25%,$12.59,$3.94,Central Texas,Envelopes - (Office Supplies),12-01-12
39,CA-2012-117415,12-27-2012,12-31-2012,4.00,Valid Date,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",$532.40,3,32.00%,-$46.98,-8.82%,$177.47,-$15.66,Central Texas,Bookcases - (Furniture),12-01-12
40,CA-2012-117415,12-27-2012,12-31-2012,4.00,Valid Date,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",$212.06,3,30.00%,-$15.15,-7.14%,$70.69,-$5.05,Central Texas,Chairs - (Furniture),12-01-12
41,CA-2012-117415,12-27-2012,12-31-2012,4.00,Valid Date,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,$371.17,4,20.00%,$41.76,11.25%,$92.79,$10.44,Central Texas,Phones - (Technology),12-01-12
42,CA-2014-120999,11-09-2014,09-16-2014,-54.00,Invalid Date,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,$147.17,4,20.00%,$16.56,11.25%,$36.79,$4.14,Central Illinois,Phones - (Technology),11-01-14
43,CA-2013-101343,07-18-2013,07-23-2013,5.00,Valid Date,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",$77.88,2,0.00%,$3.89,5.00%,$38.94,$1.95,West California,Storage - (Office Supplies),07-01-13
44,CA-2014-139619,09-20-2014,09-24-2014,4.00,Valid Date,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$95.62,2,20.00%,$9.56,10.00%,$47.81,$4.78,South Florida,Storage - (Office Supplies),09-01-14
45,CA-2013-118255,12-03-2013,03-14-2013,-264.00,Invalid Date,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$45.98,2,0.00%,$19.77,43.00%,$22.99,$9.89,Central Minnesota,Accessories - (Technology),12-01-13
46,CA-2013-118255,12-03-2013,03-14-2013,-264.00,Invalid Date,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,$17.46,2,0.00%,$8.21,47.00%,$8.73,$4.10,Central Minnesota,Binders - (Office Supplies),12-01-13
47,CA-2011-146703,10-20-2011,10-25-2011,5.00,Valid Date,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$211.96,4,0.00%,$8.48,4.00%,$52.99,$2.12,Central Michigan,Storage - (Office Supplies),10-01-11
48,CA-2013-169194,06-21-2013,06-26-2013,5.00,Valid Date,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$45.00,3,0.00%,$4.95,11.00%,$15.00,$1.65,East Delaware,Accessories - (Technology),06-01-13
49,CA-2013-169194,06-21-2013,06-26-2013,5.00,Valid Date,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$21.80,2,0.00%,$6.10,28.00%,$10.90,$3.05,East Delaware,Phones - (Technology),06-01-13
50,CA-2012-115742,04-18-2012,04-22-2012,4.00,Valid Date,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$38.22,6,0.00%,$17.96,47.00%,$6.37,$2.99,Central Indiana,Binders - (Office Supplies),04-01-12
51,CA-2012-115742,04-18-2012,04-22-2012,4.00,Valid Date,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,$75.18,6,0.00%,$35.33,47.00%,$12.53,$5.89,Central Indiana,Labels - (Office Supplies),04-01-12
52,CA-2012-115742,04-18-2012,04-22-2012,4.00,Valid Date,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,$6.16,2,0.00%,$2.96,48.00%,$3.08,$1.48,Central Indiana,Furnishings - (Furniture),04-01-12
53,CA-2012-115742,04-18-2012,04-22-2012,4.00,Valid Date,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",$89.99,1,0.00%,$17.10,19.00%,$89.99,$17.10,Central Indiana,Chairs - (Furniture),04-01-12
54,CA-2013-105816,12-12-2013,12-18-2013,6.00,Valid Date,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,$15.26,7,0.00%,$6.26,41.00%,$2.18,$0.89,East New York,Fasteners - (Office Supplies),12-01-13
55,CA-2013-105816,12-12-2013,12-18-2013,6.00,Valid Date,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,"$1,029.95",5,0.00%,$298.69,29.00%,$205.99,$59.74,East New York,Phones - (Technology),12-01-13
56,CA-2013-111682,06-18-2013,06-19-2013,1.00,Valid Date,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,$208.56,6,0.00%,$52.14,25.00%,$34.76,$8.69,East New York,Storage - (Office Supplies),06-01-13
57,CA-2013-111682,06-18-2013,06-19-2013,1.00,Valid Date,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,$32.40,5,0.00%,$15.55,48.00%,$6.48,$3.11,East New York,Paper - (Office Supplies),06-01-13
58,CA-2013-111682,06-18-2013,06-19-2013,1.00,Valid Date,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,$319.41,5,10.00%,$7.10,2.22%,$63.88,$1.42,East New York,Chairs - (Furniture),06-01-13
59,CA-2013-111682,06-18-2013,06-19-2013,1.00,Valid Date,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",$14.56,2,0.00%,$6.99,48.00%,$7.28,$3.49,East New York,Paper - (Office Supplies),06-01-13
60,CA-2013-111682,06-18-2013,06-19-2013,1.00,Valid Date,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$30.00,2,0.00%,$3.30,11.00%,$15.00,$1.65,East New York,Accessories - (Technology),06-01-13
61,CA-2013-111682,06-18-2013,06-19-2013,1.00,Valid Date,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,$48.48,4,20.00%,$16.36,33.75%,$12.12,$4.09,East New York,Binders - (Office Supplies),06-01-13
62,CA-2013-111682,06-18-2013,06-19-2013,1.00,Valid Date,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,$1.68,1,0.00%,$0.84,50.00%,$1.68,$0.84,East New York,Art - (Office Supplies),06-01-13
63,CA-2012-135545,11-24-2012,11-30-2012,6.00,Valid Date,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$13.98,2,0.00%,$6.15,44.00%,$6.99,$3.08,West California,Accessories - (Technology),11-01-12
64,CA-2012-135545,11-24-2012,11-30-2012,6.00,Valid Date,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",$25.82,6,20.00%,$9.36,36.25%,$4.30,$1.56,West California,Binders - (Office Supplies),11-01-12
65,CA-2012-135545,11-24-2012,11-30-2012,6.00,Valid Date,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,$146.73,3,0.00%,$68.96,47.00%,$48.91,$22.99,West California,Paper - (Office Supplies),11-01-12
66,CA-2012-135545,11-24-2012,11-30-2012,6.00,Valid Date,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,$79.76,4,0.00%,$22.33,28.00%,$19.94,$5.58,West California,Furnishings - (Furniture),11-01-12
67,US-2012-164175,04-30-2012,05-05-2012,5.00,Valid Date,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",$213.12,5,30.00%,-$15.22,-7.14%,$42.62,-$3.04,Central Illinois,Chairs - (Furniture),04-01-12
68,CA-2011-106376,05-12-2011,10-12-2011,153.00,Valid Date,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","$1,113.02",8,20.00%,$111.30,10.00%,$139.13,$13.91,West Arizona,Art - (Office Supplies),05-01-11
69,CA-2011-106376,05-12-2011,10-12-2011,153.00,Valid Date,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,$167.97,4,20.00%,$62.99,37.50%,$41.99,$15.75,West Arizona,Phones - (Technology),05-01-11
70,CA-2013-119823,05-06-2013,07-06-2013,61.00,Valid Date,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$75.88,2,0.00%,$35.66,47.00%,$37.94,$17.83,South Virginia,Paper - (Office Supplies),05-01-13
71,CA-2013-106075,09-19-2013,09-24-2013,5.00,Valid Date,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,$4.62,1,20.00%,$1.73,37.50%,$4.62,$1.73,East New York,Binders - (Office Supplies),09-01-13
72,CA-2014-114440,09-15-2014,09-18-2014,3.00,Valid Date,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$19.05,3,0.00%,$8.76,46.00%,$6.35,$2.92,Central Michigan,Paper - (Office Supplies),09-01-14
73,US-2012-134026,04-26-2012,02-05-2012,-81.00,Invalid Date,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,$831.94,8,20.00%,-$114.39,-13.75%,$103.99,-$14.30,South Tennessee,Chairs - (Furniture),04-01-12
74,US-2012-134026,04-26-2012,02-05-2012,-81.00,Invalid Date,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",$97.04,2,20.00%,$1.21,1.25%,$48.52,$0.61,South Tennessee,Furnishings - (Furniture),04-01-12
75,US-2012-134026,04-26-2012,02-05-2012,-81.00,Invalid Date,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,$72.78,1,20.00%,-$18.20,-25.00%,$72.78,-$18.20,South Tennessee,Storage - (Office Supplies),04-01-12
76,US-2014-118038,10-12-2014,12-12-2014,61.00,Valid Date,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,$1.25,3,80.00%,-$1.93,-155.00%,$0.42,-$0.64,Central Texas,Binders - (Office Supplies),10-01-14
